iter	Logloss
0	0.6908921004
1	0.6884674194
2	0.6860764386
3	0.6836832541
4	0.6820432729
5	0.680165695
6	0.6782616897
7	0.6767804466
8	0.6753456862
9	0.6737834316
10	0.6722619627
11	0.6705747359
12	0.6693845664
13	0.6680076991
14	0.666447294
15	0.6651167652
16	0.6639078587
17	0.6624410497
18	0.6611180334
19	0.6597852301
20	0.6585597661
21	0.6573304588
22	0.6560119869
23	0.6553101545
24	0.6543141833
25	0.6533219032
26	0.6522729101
27	0.6516316088
28	0.6503237369
29	0.6494180697
30	0.6483105067
31	0.6474518737
32	0.6465086985
33	0.645481014
34	0.6446264241
35	0.6438051918
36	0.6429439799
37	0.6418472668
38	0.6409402946
39	0.6399942087
40	0.6391585092
41	0.638155459
42	0.6372165191
43	0.6363543961
44	0.6354834929
45	0.6345619728
46	0.6339999823
47	0.6328075625
48	0.6320410239
49	0.6315887112
50	0.6306834816
51	0.6296853243
52	0.6287017142
53	0.6276506096
54	0.6266960687
55	0.6257810551
56	0.6251901379
57	0.6243942422
58	0.6234029283
59	0.6225804585
60	0.6220043752
61	0.6212759048
62	0.6208591814
63	0.6200570855
64	0.6192501795
65	0.6184506745
66	0.6178166364
67	0.6172228699
68	0.6164244736
69	0.6157683871
70	0.6150464464
71	0.6145653586
72	0.6140007066
73	0.6134345271
74	0.6128103337
75	0.6119587155
76	0.6116358348
77	0.6109095847
78	0.6105283885
79	0.6099104656
80	0.6092260439
81	0.6083775229
82	0.6077911791
83	0.6071666588
84	0.6064069704
85	0.6056839302
86	0.6052989219
87	0.6047452767
88	0.6040162836
89	0.6034138852
90	0.6026253142
91	0.6020496949
92	0.601456504
93	0.6007175733
94	0.6001251747
95	0.5995237562
96	0.5989111325
97	0.5984275348
98	0.5976412108
99	0.5971315553
100	0.596705114
101	0.5958176454
102	0.5950054251
103	0.5946087415
104	0.5940452785
105	0.5933405559
106	0.5928075855
107	0.5920871394
108	0.5914527965
109	0.5908304476
110	0.5903842105
111	0.5899750881
112	0.5894623068
113	0.5886869515
114	0.5880899465
115	0.5873130009
116	0.5868610489
117	0.5864323401
118	0.5856201292
119	0.5847974855
120	0.5841540263
121	0.5834878968
122	0.5828063684
123	0.5824990912
124	0.581878288
125	0.581657474
126	0.581037471
127	0.5804888017
128	0.579793454
129	0.5792515775
130	0.5786746733
131	0.5779265724
132	0.5776338517
133	0.577197621
134	0.5763389602
135	0.5757412226
136	0.5751410197
137	0.5745488316
138	0.5739279465
139	0.5734998613
140	0.5729205014
141	0.5725144115
142	0.5718104316
143	0.5713760148
144	0.5707914822
145	0.5702659224
146	0.569945496
147	0.5694618208
148	0.5688284834
149	0.5683595478
150	0.5677570137
151	0.5671693144
152	0.5665871681
153	0.5658388346
154	0.5652784154
155	0.5645740949
156	0.5640352451
157	0.5634227572
158	0.563072457
159	0.5625273838
160	0.5620393886
161	0.5614125389
162	0.5606040254
163	0.5598186935
164	0.5591940689
165	0.5583484713
166	0.5578264333
167	0.5570743031
168	0.5566070064
169	0.5559190725
170	0.555203488
171	0.5547972435
172	0.554039347
173	0.553395538
174	0.5529054319
175	0.5522835097
176	0.5520896249
177	0.5515409727
178	0.5508261457
179	0.5501048473
180	0.5492985332
181	0.5485837409
182	0.5479809921
183	0.54740463
184	0.5467223547
185	0.5462910428
186	0.5456120391
187	0.5449944497
188	0.5440869992
189	0.5436134952
190	0.5428424509
191	0.542120345
192	0.5414633077
193	0.5409835662
194	0.5402189651
195	0.5393943527
196	0.538794752
197	0.5380632675
198	0.5373507499
199	0.5364363474
200	0.5357239397
201	0.5351347875
202	0.5344836667
203	0.5334442667
204	0.5329034471
205	0.5322996775
206	0.5315768609
207	0.5310823753
208	0.5304074856
209	0.5298715671
210	0.5291194545
211	0.528389425
212	0.5278032759
213	0.5270612357
214	0.5263719844
215	0.5256894548
216	0.5249304704
217	0.5241532112
218	0.5234011872
219	0.5227696526
220	0.5220441453
221	0.5211680515
222	0.5203452998
223	0.5196964379
224	0.5190812675
225	0.5184503945
226	0.5176074136
227	0.5168845961
228	0.5162485961
229	0.5156315131
230	0.5148755638
231	0.5143082693
232	0.5135365207
233	0.5128060036
234	0.5125787748
235	0.5119490944
236	0.5112561319
237	0.5104950046
238	0.5098879089
239	0.5093300074
240	0.5085610725
241	0.5079772959
242	0.5071191708
243	0.5063507253
244	0.5055834745
245	0.5049101579
246	0.5040201934
247	0.503203727
248	0.5027575344
249	0.5022391126
250	0.5015714619
251	0.5012662722
252	0.5006914125
253	0.5002222974
254	0.4997999993
255	0.4993309088
256	0.4986133998
257	0.4979034983
258	0.497205262
259	0.4964956341
260	0.4960149837
261	0.4950929861
262	0.49468095
263	0.4937885982
264	0.4930045316
265	0.4923774203
266	0.4916486267
267	0.4908815607
268	0.4901571742
269	0.4897444847
270	0.4891090841
271	0.4884287063
272	0.4878760191
273	0.4872507631
274	0.4865067478
275	0.4861089572
276	0.4854193546
277	0.4847790062
278	0.4840903102
279	0.483325618
280	0.4828594945
281	0.4823260587
282	0.4819261993
283	0.4810617591
284	0.4804761645
