iter	Passed	Remaining
0	143	71627
1	147	36696
2	151	25038
3	154	19173
4	157	15639
5	161	13306
6	165	11631
7	168	10373
8	172	9393
9	175	8623
10	179	7994
11	184	7491
12	188	7044
13	191	6650
14	195	6321
15	199	6025
16	203	5768
17	207	5551
18	211	5352
19	215	5164
20	218	4995
21	222	4835
22	226	4691
23	229	4557
24	233	4436
25	237	4326
26	240	4220
27	244	4125
28	248	4033
29	252	3948
30	255	3869
31	259	3791
32	262	3717
33	266	3648
34	269	3585
35	273	3523
36	276	3462
37	280	3404
38	283	3350
39	286	3297
40	290	3248
41	293	3203
42	297	3157
43	300	3113
44	303	3071
45	307	3030
46	310	2994
47	314	2957
48	317	2922
49	321	2891
50	324	2857
51	327	2825
52	331	2798
53	335	2772
54	339	2750
55	343	2722
56	346	2696
57	350	2672
58	354	2649
59	358	2626
60	361	2602
61	364	2577
62	368	2554
63	371	2532
64	375	2511
65	378	2490
66	382	2471
67	386	2452
68	389	2434
69	393	2415
70	396	2396
71	400	2378
72	403	2360
73	407	2343
74	410	2325
75	414	2311
76	417	2293
77	421	2278
78	424	2262
79	427	2246
80	431	2232
81	434	2217
82	438	2202
83	441	2187
84	445	2174
85	449	2162
86	452	2148
87	455	2134
88	459	2123
89	463	2110
90	466	2097
91	469	2083
92	473	2070
93	476	2058
94	479	2045
95	483	2032
96	486	2020
97	489	2008
98	492	1996
99	496	1984
100	499	1973
101	502	1962
102	506	1951
103	509	1940
104	512	1929
105	516	1918
106	519	1907
107	522	1897
108	526	1887
109	529	1876
110	532	1865
111	535	1855
112	539	1846
113	542	1836
114	545	1826
115	548	1816
116	552	1807
117	555	1797
118	558	1788
119	561	1778
120	564	1769
121	568	1760
122	571	1751
123	574	1742
124	578	1734
125	581	1725
126	584	1717
127	588	1708
128	591	1700
129	594	1691
130	597	1683
131	601	1675
132	604	1667
133	607	1659
134	610	1651
135	614	1644
136	617	1636
137	621	1629
138	624	1621
139	627	1613
140	630	1606
141	634	1598
142	637	1591
143	640	1583
144	643	1576
145	647	1568
146	650	1561
147	653	1554
148	656	1547
149	660	1540
150	663	1533
151	666	1526
152	670	1520
153	673	1513
154	676	1506
155	680	1499
156	683	1492
157	686	1485
158	689	1479
159	692	1472
160	696	1466
161	699	1459
162	702	1452
163	706	1446
164	709	1440
165	712	1434
166	716	1428
167	719	1421
168	722	1415
169	726	1410
170	729	1404
171	733	1398
172	736	1391
173	739	1385
174	742	1379
175	746	1373
176	749	1367
177	752	1361
178	756	1355
179	759	1349
180	762	1343
181	765	1338
182	769	1332
183	772	1326
184	775	1320
185	778	1315
186	782	1309
187	785	1304
188	789	1298
189	792	1292
190	795	1287
191	798	1281
192	802	1276
193	806	1271
194	809	1266
195	813	1261
196	816	1255
197	819	1250
198	823	1245
199	826	1239
200	829	1234
201	833	1229
202	836	1223
203	839	1218
204	843	1213
205	846	1207
206	849	1202
207	852	1197
208	856	1191
209	859	1186
210	862	1181
211	865	1176
212	869	1171
213	872	1166
214	875	1160
215	878	1155
216	882	1150
217	885	1145
218	888	1140
219	892	1135
220	895	1130
221	898	1125
222	902	1120
223	905	1115
224	908	1110
225	912	1105
226	915	1100
227	918	1095
228	921	1090
229	925	1086
230	928	1081
231	931	1076
232	934	1071
233	938	1066
234	941	1061
235	944	1056
236	947	1051
237	951	1047
238	954	1042
239	957	1037
240	961	1032
241	964	1028
242	967	1023
243	971	1018
244	974	1014
245	977	1009
246	981	1004
247	984	1000
248	987	995
249	990	990
250	994	986
251	997	981
252	1000	977
253	1004	973
254	1008	968
255	1011	964
256	1015	960
257	1018	955
258	1022	951
259	1025	946
260	1028	942
261	1032	937
262	1035	933
263	1039	929
264	1043	925
265	1046	920
266	1050	916
267	1053	912
268	1056	907
269	1060	902
270	1063	898
271	1066	893
272	1069	889
273	1072	884
274	1076	880
275	1079	876
276	1082	871
277	1085	867
278	1089	862
279	1092	858
280	1095	854
281	1099	849
282	1102	845
283	1105	841
284	1109	836
285	1112	832
286	1116	828
287	1119	824
288	1122	819
289	1126	815
290	1129	811
291	1132	806
292	1136	802
293	1139	798
294	1142	794
295	1146	790
296	1149	785
297	1153	781
298	1156	777
299	1159	773
300	1163	769
301	1166	765
302	1170	760
303	1173	756
304	1177	752
305	1180	748
306	1183	744
307	1186	739
308	1190	735
309	1193	731
310	1197	727
311	1200	723
312	1203	719
313	1207	715
314	1210	710
315	1213	706
316	1217	702
317	1220	698
318	1223	694
319	1227	690
320	1230	686
321	1233	682
322	1237	677
323	1240	673
324	1243	669
325	1247	665
326	1250	661
327	1254	657
328	1257	653
329	1260	649
330	1264	645
331	1267	641
332	1270	637
333	1274	633
334	1277	629
335	1280	625
336	1284	621
337	1287	617
338	1291	613
339	1294	609
340	1297	605
341	1301	601
342	1304	597
343	1307	593
344	1311	589
345	1314	585
346	1318	581
347	1322	577
348	1325	573
349	1329	569
350	1332	565
351	1335	561
352	1339	557
353	1342	553
354	1346	549
355	1349	545
356	1353	542
357	1356	538
358	1360	534
359	1363	530
360	1367	526
361	1370	522
362	1374	518
363	1378	514
364	1381	511
365	1385	507
366	1388	503
367	1392	499
368	1395	495
369	1398	491
370	1402	487
371	1405	483
372	1408	479
373	1412	475
374	1415	471
375	1418	467
376	1422	464
377	1425	460
378	1428	456
379	1432	452
